epoch,loss
1,0.5027637374636525
2,0.25262775874149246
3,0.13804325736110135
4,0.22994786507232556
5,0.05418689115190532
6,0.18985100235606345
7,0.035366501554972125
8,0.23635869186943076
9,0.17075550849525928
10,0.08546054511610095
11,0.20983995202363107
12,0.17843323791236287
13,0.16154464268616892
14,0.13432329749955457
15,0.10898731834497363
16,0.12922811641063806
17,0.148222586611716
18,0.21382370715006643
19,0.11500016264843944
20,0.2534083277694142
21,0.16298174991008596
22,0.16992126052082307
23,0.13474531566508788
24,0.1519631414574446
25,0.22640609079552013
26,0.11308210695346002
27,0.11500971203293851
28,0.17339178920493264
29,0.2640771161132076
30,0.09291008788651155
31,0.08826635315575578
32,0.13524867422734368
33,0.26185897617417325
34,0.21638668450396506
35,0.15092590935803954
36,0.09368576641728904
37,0.14312742073768867
38,0.1259347096332003
39,0.02715850038660796
40,0.037480419096036846
41,0.14593806784956795
42,0.09987471414970948
43,0.12885630133587733
44,0.0855034226125371
45,0.055077506986167736
46,0.15701092644472797
47,0.06732615846135266
48,0.08763911208874427
49,0.06589629945337658
50,0.26276421227109636
51,0.11552095619736089
52,0.05623505239802754
53,0.02579761319710083
54,0.16798275788962772
55,0.032979608768980935
56,0.0562456833868992
57,0.08536264219067437
58,0.03524920080424883
59,0.09862208165018828
60,0.0910544153046687
61,0.11925272127180278
62,0.03045941100385776
63,0.017524302336655962
64,0.08277838308461094
65,0.09477076011864788
66,0.05404331885777565
67,0.012876747445884986
68,0.037513980105682534
69,0.008546804183496253
70,0.16163540307665766
71,0.057476898581982704
72,0.062326800148270085
73,0.006268702569901145
74,0.0030605440204585902
75,0.0025184962880326254
76,0.0017503488077927059
77,0.0016163664904220514
78,0.0010034185440162778
79,9.432108834689343E-4
80,8.45072601036533E-4
81,8.228501018437095E-4
82,7.893878308888857E-4
83,7.490969695997189E-4
84,7.110982849867455E-4
85,6.601232307299269E-4
86,6.466760397761249E-4
87,6.266802616989559E-4
88,5.933461875295941E-4
89,5.728214863912404E-4
90,5.442286533774299E-4
91,5.260800964050351E-4
92,5.086468411216133E-4
93,4.8383529170080723E-4
94,4.5974274625663257E-4
95,4.5143638967242496E-4
96,4.31859932917065E-4
97,4.1521680195817504E-4
98,4.0345459303499256E-4
99,3.8969090988748485E-4
100,3.7310869528463003E-4
101,3.596395596045659E-4
102,3.5113990572535646E-4
103,3.383616047538295E-4
104,3.294506344772363E-4
105,3.1882040339292327E-4
106,3.0927798631244535E-4
107,2.997886216486905E-4
108,2.9187647675211857E-4
109,2.8149980847183017E-4
110,2.766621352446656E-4
111,2.69061198025215E-4
112,2.605202832485068E-4
113,2.5537033500997846E-4
114,2.487502810856935E-4
115,2.441154063237084E-4
116,2.3820311845584603E-4
117,2.3324688550735082E-4
118,2.2780414775515795E-4
119,2.2268686229375473E-4
120,2.1894783506364152E-4
121,2.1531772753126006E-4
