epoch,loss
1,0.8519807597398452
2,0.19087456008039091
3,0.10636916326365517
4,0.0732907762483529
5,0.055491833783510636
6,0.04439110954230485
7,0.036836017788421924
8,0.031377493206802845
9,0.027260157761693757
10,0.02404861218960275
11,0.021479039809277903
12,0.019378663946610954
13,0.017632166661416995
14,0.016158596761353106
15,0.014899881542525459
16,0.013812953855121789
17,0.012865472140844311
18,0.012032872438158062
19,0.011295746917225378
20,0.010638935028476657
21,0.010050282368832746
22,0.00951988228450397
23,0.00903964567143369
24,0.008602964998740047
25,0.008204256290000296
26,0.00783889076640561
27,0.007502938937568872
28,0.007193070117372535
29,0.006906413074286478
30,0.006640499177743307
31,0.006393217148495795
32,0.006162708810907641
33,0.00594735889072013
34,0.0057457508041226825
35,0.0055566375358312575
36,0.005378912530144373
37,0.0052116020198855525
38,0.005053839174123704
39,0.004904840143701051
40,0.004763914956191646
41,0.004630436052187322
42,0.004503838454823516
43,0.004383616238218393
44,0.00426931144539279
45,0.004160505220468649
46,0.004056816751351726
47,0.003957902101141636
48,0.003863445794593902
49,0.003773159248258989
50,0.0036867778442945423
51,0.0036040599533623784
52,0.0035247801262925597
53,0.003448734502414541
54,0.0033757323959247455
55,0.003305598407062047
56,0.0032381702117341253
57,0.003173297476779998
58,0.003110839842481094
59,0.003050668785232218
60,0.002992663123756953
61,0.002936709782355926
62,0.0028827049551223725
63,0.0028305497739826184
64,0.0027801530369934635
65,0.0027314295630196856
66,0.002684298323381434
67,0.0026386844070978503
68,0.0025945171021652894
69,0.00255173036771272
70,0.0025102615596226258
71,0.002470051627737272
72,0.0024310454804717294
73,0.0023931908752571045
74,0.0023564388753525506
75,0.0023207424656118084
76,0.002286058173667867
77,0.0022523440147390575
78,0.0022195608167365505
79,0.002187671303392717
80,0.0021566400966428418
81,0.002126433860881562
82,0.00209702068275571
83,0.0020683701445635004
84,0.0020404538579817458
85,0.0020132442435636918
86,0.0019867154356678117
87,0.001960842695706391
88,0.0019356024217794324
