epoch,loss
1,0.19632433033903432
2,0.025709756158239616
3,0.01380463376312293
4,0.009402823696461483
5,0.0071275310923153805
6,0.005738635786024466
7,0.004768304628489954
8,0.0040811610874380835
9,0.0035575567760569807
10,0.003154081931174413
11,0.002828569821384171
12,0.0025627115969507498
13,0.002341776310394999
14,0.002154669749108327
15,0.0019944275805250855
16,0.001856224909505009
17,0.0017349887281614918
18,0.0016284801080903228
19,0.0015337972371617672
20,0.0014490289191492886
21,0.0013730501577022716
22,0.001304427035797977
23,0.0012421225657446996
24,0.001185280004396622
25,0.0011333283390938002
26,0.001085666128444782
27,0.0010416217548206957
28,0.0010009806637927908
29,9.633313250508071E-4
30,9.282807276995066E-4
31,8.956246644643325E-4
32,8.651529066774703E-4
33,8.366223715354396E-4
34,8.098606704228813E-4
35,7.846843709193558E-4
36,7.609739570832023E-4
37,7.386935555628821E-4
38,7.176002262658847E-4
39,6.976356213120418E-4
40,6.787431035252551E-4
41,6.608046353431467E-4
42,6.437484199895982E-4
43,6.275219768991575E-4
44,6.121134802229926E-4
45,5.974135031127741E-4
46,5.83331882964214E-4
47,5.699451626688531E-4
48,5.571198383283283E-4
49,5.448432970959116E-4
50,5.330773401254165E-4
51,5.217903088161182E-4
52,5.109607768961326E-4
53,5.005744199562375E-4
54,4.905739014755874E-4
55,4.809575975163282E-4
56,4.716934528039264E-4
57,4.627870030808857E-4
58,4.541856213758647E-4
59,4.4590278300209727E-4
60,4.378961916076723E-4
61,4.3016933769075117E-4
62,4.2270776404672463E-4
63,4.1548897621818663E-4
64,4.085055574792661E-4
65,4.0174877903586154E-4
66,3.9520150609652745E-4
67,3.8886109027555884E-4
68,3.827199767679954E-4
69,3.7676117950848423E-4
70,3.709771735129415E-4
71,3.653614360621396E-4
72,3.599155917759584E-4
73,3.5462570825496175E-4
74,3.4948015850447413E-4
75,3.444788616994858E-4
76,3.396177466462805E-4
77,3.3488652554397705E-4
78,3.3028073924526436E-4
79,3.25797213418025E-4
80,3.214319944725742E-4
81,3.171774465792905E-4
82,3.1302961955624766E-4
83,3.0899051678943376E-4
84,3.050484648291919E-4
85,3.012031181407199E-4
86,2.9745095037349474E-4
87,2.9378808343026537E-4
88,2.9021277460444854E-4
89,2.8672241181649084E-4
90,2.833090343521093E-4
91,2.7997461630321446E-4
92,2.767207757273064E-4
93,2.7353652813441045E-4
94,2.7042423953308213E-4
95,2.6737783209459663E-4
96,2.643970581402338E-4
97,2.614820684769816E-4
98,2.5862757474453657E-4
99,2.558361678543201E-4
100,2.531000776994364E-4
101,2.5042122034335854E-4
102,2.477955829351388E-4
103,2.4522494028016395E-4
104,2.4270449589458833E-4
105,2.4023458934234937E-4
106,2.3781297641854487E-4
107,2.354371281794104E-4
108,2.331082877291826E-4
109,2.3082465501556127E-4
110,2.2858343393452932E-4
111,2.2638394125441242E-4
112,2.242258871792677E-4
113,2.2210687374006288E-4
114,2.2002678990315892E-4
115,2.179832462867158E-4
116,2.1597780016082983E-4
117,2.1400820535718144E-4
118,2.1207220877364496E-4
119,2.101707160267655E-4
120,2.0830132984139919E-4
121,2.0646419375938138E-4
122,2.0465873741753635E-4
123,2.0288411478783144E-4
124,2.011379124796985E-4
125,1.994223603521681E-4
126,1.9773459847819707E-4
127,1.960736783628578E-4
128,1.9444019945051786E-4
129,1.9283290806533168E-4
130,1.9125184976417697E-4
131,1.89696165086309E-4
132,1.8816347441292868E-4
133,1.8665544652816883E-4
134,1.85171595673396E-4
135,1.8370959710964108E-4
136,1.8227032619232044E-4
137,1.8085231879263537E-4
138,1.7945595375708538E-4
139,1.7807931174796207E-4
140,1.7672535149318696E-4
141,1.7539022183943686E-4
142,1.7407470108508005E-4
143,1.72778179228734E-4
144,1.7150034495343089E-4
145,1.7024041768915583E-4
146,1.6899868126748894E-4
147,1.677746200714074E-4
148,1.6656729330105115E-4
149,1.653769951877572E-4
150,1.6420355043543942E-4
151,1.630456584181354E-4
152,1.6190428820553402E-4
153,1.6077815109013683E-4
154,1.5966658695741346E-4
155,1.5857062021684733E-4
156,1.5748856827654334E-4
157,1.5642144249366653E-4
158,1.5536767386109554E-4
159,1.5432855016985934E-4
160,1.5330200729146346E-4
161,1.5228934552112737E-4
162,1.51289391747408E-4
163,1.5030183360209714E-4
164,1.4932698248562283E-4
165,1.4836441683738726E-4
166,1.47414027065048E-4
167,1.4647495031491759E-4
168,1.4554812127850805E-4
169,1.4463238842918498E-4
170,1.4372792257324272E-4
171,1.4283431257936175E-4
172,1.4195115121740884E-4
173,1.410786924785279E-4
174,1.402170765627495E-4
175,1.3936533817774844E-4
176,1.385236063079694E-4
177,1.3769193953338274E-4
178,1.368692450522861E-4
179,1.360567685599316E-4
180,1.3525379571060862E-4
181,1.3445963999298208E-4
182,1.336746472281565E-4
183,1.3289826836635111E-4
184,1.3213115904075413E-4
185,1.3137206555702806E-4
186,1.306215791514094E-4
187,1.298798183196525E-4
188,1.2914578005223737E-4
189,1.284200149888685E-4
190,1.2770215987489004E-4
191,1.269921047954694E-4
192,1.2628941700287884E-4
193,1.2559456423461276E-4
194,1.2490702627917028E-4
195,1.2422687351164628E-4
196,1.2355371325491204E-4
197,1.2288775129075226E-4
198,1.2222879893998562E-4
199,1.2157658451587327E-4
200,1.2093125114703302E-4
201,1.202925338620179E-4
202,1.1966017643055158E-4
203,1.1903459195472841E-4
204,1.1841514016675185E-4
205,1.1780201032391976E-4
206,1.1719511351003765E-4
207,1.1659401516815176E-4
208,1.1599931949376203E-4
209,1.1541016750198744E-4
210,1.1482692456218834E-4
211,1.1424945528316495E-4
212,1.1367760300382298E-4
